location,tavg_mean,tavg_std,tavg_min,tavg_max,prcp_sum,prcp_mean,temp_range_mean
"40.7128,-74.006",18.6,,18.6,18.6,71.0,71.0,9.700000000000001
"51.5074,-0.1278",14.1,,14.1,14.1,54.7,54.7,8.6
