date,tavg,tmin,tmax,prcp,wspd,pres,tsun,location,temp_range,7d_avg_temp,is_anomaly,temp_outlier
2024-05-01,18.6,14.1,23.8,71.0,13.2,1013.0,,"40.7128,-74.006",9.700000000000001,18.6,False,False
2024-05-01,14.1,9.6,18.2,54.7,12.5,1012.7,,"51.5074,-0.1278",8.6,14.1,False,False
